,Frequency,IR
0,20.3253,0.0008
1,25.3713,0.0023
2,29.0304,0.0019
3,36.4223,0.0037
4,38.2925,0.0034
5,47.4309,0.0069
6,64.5361,0.0111
7,88.8517,0.0218
8,97.6623,0.0218
9,114.2819,0.0367
10,144.5312,0.0642
11,178.5621,0.0883
12,184.025,0.1084
13,191.696,0.1116
14,223.3946,0.1477
15,236.5685,0.1429
16,258.9435,0.1619
17,274.3427,0.0587
18,283.0424,0.0662
19,292.0665,0.1423
20,321.9882,0.2902
21,330.8622,0.2745
22,383.5234,0.5018
23,392.6172,0.5733
24,417.3471,0.286
25,422.574,0.3152
26,429.174,0.4166
27,429.789,0.3176
28,451.1227,0.7134
29,458.3124,0.1921
30,511.3812,0.6069
31,511.5071,0.6156
32,517.6485,0.4977
33,529.5695,0.5364
34,544.1131,0.4605
35,567.7829,0.6644
36,616.7744,1.3324
37,625.0175,1.4568
38,633.9242,1.9971
39,640.9624,1.608
40,647.9602,1.6938
41,654.9333,1.788
42,683.584,1.6186
43,708.5239,0.6524
44,724.0413,1.9254
45,729.6569,1.8798
46,739.9242,1.5191
47,776.128,0.5758
48,820.8366,2.2478
49,830.0941,2.2112
50,840.0616,0.5358
51,842.0381,0.5277
52,853.854,0.5421
53,864.6295,1.7275
54,866.258,0.8564
55,868.7909,0.7127
56,904.1257,2.9563
57,919.8149,0.7116
58,964.4213,0.7235
59,965.9168,0.7108
60,983.3331,0.8356
61,985.2843,1.0807
62,987.0129,1.4254
63,998.4016,0.7589
64,1012.4972,0.7735
65,1016.5884,3.2885
66,1028.3965,2.272
67,1035.3814,1.7065
68,1073.1871,1.6477
69,1081.6205,1.9334
70,1120.0983,2.3595
71,1124.7426,2.7286
72,1128.5847,2.4898
73,1139.8172,1.079
74,1142.5667,0.9845
75,1148.7078,1.4544
76,1187.8008,0.9187
77,1193.7731,1.0718
78,1194.7371,1.0737
79,1204.0901,0.9838
80,1205.5588,1.0125
81,1219.1259,0.981
82,1225.3321,1.5442
83,1227.5199,1.2767
84,1230.2087,2.6793
85,1292.6669,3.157
86,1295.7067,2.6238
87,1311.4405,3.1509
88,1319.2008,3.9731
89,1322.0317,4.6219
90,1338.1994,1.5577
91,1344.7955,2.007
92,1362.1945,5.1636
93,1367.3247,5.0376
94,1368.6312,2.4815
95,1378.309,2.7441
96,1430.0648,6.0833
97,1465.53,5.7178
98,1487.899,4.4918
99,1494.5873,4.0009
100,1504.7974,1.6627
101,1506.4686,1.8256
102,1515.3648,3.6323
103,1528.4581,1.4392
104,1528.8553,1.4393
105,1541.5756,1.4832
106,1543.2141,1.4915
107,1560.898,3.3575
108,1583.1629,4.322
109,1593.0251,4.9375
110,1616.6722,3.6642
111,1672.2933,12.4529
112,1680.8764,11.7426
113,1686.6976,9.0322
114,1699.0971,10.4921
115,1711.72,11.1198
116,1715.2433,11.3073
117,1725.347,18.5236
118,3058.1006,5.7036
119,3063.3458,5.7225
120,3121.048,6.3488
121,3128.4145,6.3808
122,3196.0674,6.6206
123,3202.4218,6.6491
124,3204.527,6.5882
125,3224.3282,6.6621
126,3229.199,6.7032
127,3232.3853,6.7279
128,3247.512,6.7716
129,3247.5996,6.7688
130,3248.7807,6.8255
131,3257.5269,6.8059
132,3260.9175,6.8674
133,3265.2156,6.8606
134,3268.5943,6.8877
135,3273.3169,6.905
136,3287.5192,6.9581
137,3627.5123,8.3448
